name = "The Great Kamboji Revolt"
war_goal = {
	type = defend_capital_independence
	tag = LE7
	casus_belli = cb_independence_war
}

1442.01.16 = {
	add_attacker = LE7
	add_attacker = NI3
	add_attacker = NI4
	add_attacker = NI1
	add_attacker = YN1
	add_attacker = YN2
	add_defender = LE0
	add_defender = NI2
	add_defender = GHR
	add_defender = PT2
	add_defender = PT1
	add_defender = YN3
	add_defender = PT3
	add_defender = PT4
	add_defender = LE6
}

1450.3.1 = {
	rem_attacker = LE7
	rem_attacker = NI3
	rem_attacker = NI4
	rem_attacker = NI1
	rem_attacker = YN1
	rem_attacker = YN2
	rem_defender = LE0
	rem_defender = NI2
	rem_defender = GHR
	rem_defender = PT2
	rem_defender = PT1
	rem_defender = YN3
	rem_defender = PT3
	rem_defender = PT4
	rem_defender = LE6
}
